时间,通道1,通道2,通道3,通道4,通道5,通道6,通道7,通道8,通道9,通道10,通道11,通道12,通道13,通道14,通道15,通道16
2025-12-01 15:02:00,1.836335e+01,2.694712e+01,1.116677e+01,8.131709e+01,3.356658e+01,4.287251e+01,1.353737e+01,2.434958e+01,1.085822e+01,3.612257e+01,1.438401e+01,3.823557e+01,3.803948e+00,1.742839e+01,2.385254e+01,4.369671e+01
2025-12-01 15:02:30,1.836491e+01,2.695882e+01,1.119344e+01,8.129403e+01,3.363685e+01,4.288867e+01,1.343996e+01,2.437794e+01,1.086038e+01,3.610699e+01,1.431152e+01,3.826817e+01,3.861139e+00,1.744718e+01,2.384784e+01,4.371180e+01
2025-12-01 15:03:00,1.836789e+01,2.696216e+01,1.123901e+01,8.130823e+01,3.356276e+01,4.288802e+01,1.351651e+01,2.435628e+01,1.090162e+01,3.613001e+01,1.438851e+01,3.826190e+01,3.784483e+00,1.743833e+01,2.386775e+01,4.370420e+01
2025-12-01 15:03:30,1.835658e+01,2.695990e+01,1.114520e+01,8.125671e+01,3.355362e+01,4.285245e+01,1.359458e+01,2.438049e+01,1.083400e+01,3.614434e+01,1.440663e+01,3.815739e+01,3.789641e+00,1.740454e+01,2.391204e+01,4.366010e+01
2025-12-01 15:04:00,1.836490e+01,2.697605e+01,1.117209e+01,8.127994e+01,3.357324e+01,4.285919e+01,1.356334e+01,2.440479e+01,1.085158e+01,3.616145e+01,1.438722e+01,3.816092e+01,3.794113e+00,1.742087e+01,2.391744e+01,4.366551e+01
2025-12-01 15:04:30,1.837761e+01,2.707176e+01,1.125479e+01,8.137450e+01,3.353079e+01,4.280861e+01,1.359251e+01,2.443510e+01,1.074646e+01,3.621731e+01,1.448325e+01,3.812542e+01,3.701745e+00,1.742756e+01,2.401077e+01,4.369135e+01
2025-12-01 15:05:00,1.837982e+01,2.699932e+01,1.123049e+01,8.133585e+01,3.357325e+01,4.289183e+01,1.357485e+01,2.436208e+01,1.089518e+01,3.616881e+01,1.446015e+01,3.822841e+01,3.719748e+00,1.744281e+01,2.386949e+01,4.368050e+01
2025-12-01 15:05:30,1.838185e+01,2.697488e+01,1.121150e+01,8.128279e+01,3.357536e+01,4.289640e+01,1.360869e+01,2.439519e+01,1.089656e+01,3.615577e+01,1.446127e+01,3.822242e+01,3.723131e+00,1.741595e+01,2.386289e+01,4.364547e+01
2025-12-01 15:06:00,1.848537e+01,2.728595e+01,1.147873e+01,8.162178e+01,3.344303e+01,4.296209e+01,1.358291e+01,2.460045e+01,1.074949e+01,3.625861e+01,1.478392e+01,3.827629e+01,3.398767e+00,1.751135e+01,2.393843e+01,4.384499e+01
2025-12-01 15:06:30,1.847901e+01,2.727920e+01,1.141040e+01,8.152108e+01,3.347950e+01,4.295097e+01,1.361126e+01,2.463726e+01,1.072197e+01,3.627397e+01,1.472242e+01,3.825974e+01,3.484058e+00,1.749493e+01,2.395691e+01,4.379917e+01
2025-12-01 15:07:00,1.841043e+01,2.710323e+01,1.118524e+01,8.127351e+01,3.355190e+01,4.289874e+01,1.363153e+01,2.452224e+01,1.078191e+01,3.624195e+01,1.450190e+01,3.823656e+01,3.698002e+00,1.741342e+01,2.394631e+01,4.365734e+01
2025-12-01 15:07:30,1.840436e+01,2.704283e+01,1.115015e+01,8.124409e+01,3.364133e+01,4.294598e+01,1.358318e+01,2.451046e+01,1.090017e+01,3.619872e+01,1.442267e+01,3.827921e+01,3.799808e+00,1.742574e+01,2.384932e+01,4.365363e+01
