时间,通道1,通道4,通道6,通道8,通道10,通道12,通道13
2025-11-25 10:19:01,1.280686e+01,1.328775e+01,1.305585e+01,1.285836e+01,1.288465e+01,1.266828e+01,1.298027e+01
2025-11-25 10:19:31,1.277633e+01,1.325550e+01,1.305765e+01,1.286396e+01,1.286663e+01,1.267391e+01,1.296592e+01
2025-11-25 10:20:01,1.277489e+01,1.325739e+01,1.306204e+01,1.286587e+01,1.287177e+01,1.267774e+01,1.297875e+01
2025-11-25 10:20:31,1.277425e+01,1.325145e+01,1.306211e+01,1.286362e+01,1.285773e+01,1.266310e+01,1.295666e+01
2025-11-25 10:21:01,1.279800e+01,1.327142e+01,1.308973e+01,1.291847e+01,1.286122e+01,1.273914e+01,1.294970e+01
2025-11-25 10:21:31,1.280168e+01,1.328832e+01,1.307765e+01,1.288832e+01,1.287733e+01,1.272101e+01,1.297031e+01
2025-11-25 10:22:01,1.276408e+01,1.323238e+01,1.308830e+01,1.292888e+01,1.283300e+01,1.266908e+01,1.292391e+01
2025-11-25 10:22:31,1.274367e+01,1.321054e+01,1.305072e+01,1.287285e+01,1.281987e+01,1.259314e+01,1.291307e+01
2025-11-25 10:23:01,1.274543e+01,1.320713e+01,1.305629e+01,1.288175e+01,1.281463e+01,1.259316e+01,1.290539e+01
2025-11-25 10:23:31,1.279655e+01,1.326145e+01,1.308876e+01,1.292440e+01,1.285801e+01,1.265531e+01,1.294597e+01
2025-11-25 10:24:01,1.275843e+01,1.321772e+01,1.304720e+01,1.286826e+01,1.281852e+01,1.258053e+01,1.290263e+01
2025-11-25 10:24:31,1.275858e+01,1.322711e+01,1.305197e+01,1.285975e+01,1.284392e+01,1.259719e+01,1.293754e+01
2025-11-25 10:25:01,1.277281e+01,1.324467e+01,1.305469e+01,1.285794e+01,1.286951e+01,1.260323e+01,1.296171e+01
2025-11-25 10:25:31,1.281054e+01,1.329153e+01,1.309767e+01,1.289022e+01,1.289505e+01,1.272707e+01,1.298267e+01
2025-11-25 10:26:01,1.276489e+01,1.323815e+01,1.309127e+01,1.288141e+01,1.286348e+01,1.268743e+01,1.295925e+01
2025-11-25 10:26:31,1.281708e+01,1.329853e+01,1.311448e+01,1.292118e+01,1.290471e+01,1.274955e+01,1.299041e+01
2025-11-25 10:27:01,1.280964e+01,1.329570e+01,1.310474e+01,1.289739e+01,1.291093e+01,1.272030e+01,1.299976e+01
2025-11-25 10:27:31,1.283378e+01,1.331643e+01,1.311778e+01,1.292435e+01,1.292196e+01,1.277497e+01,1.299944e+01
2025-11-25 10:28:01,1.282528e+01,1.330942e+01,1.311511e+01,1.291051e+01,1.290580e+01,1.275647e+01,1.298201e+01
2025-11-25 10:28:31,1.282560e+01,1.331599e+01,1.313673e+01,1.295114e+01,1.291082e+01,1.280950e+01,1.298574e+01
2025-11-25 10:29:01,1.281074e+01,1.329743e+01,1.314083e+01,1.297092e+01,1.288993e+01,1.280598e+01,1.296468e+01
2025-11-25 10:29:31,1.282303e+01,1.330013e+01,1.313157e+01,1.296272e+01,1.290091e+01,1.273638e+01,1.296402e+01
2025-11-25 10:30:01,1.279316e+01,1.326947e+01,1.311329e+01,1.293561e+01,1.287655e+01,1.267854e+01,1.294951e+01
2025-11-25 10:30:31,1.280689e+01,1.328175e+01,1.310704e+01,1.292261e+01,1.288830e+01,1.268174e+01,1.295388e+01
2025-11-25 10:31:01,1.279461e+01,1.327071e+01,1.310885e+01,1.291282e+01,1.288787e+01,1.266342e+01,1.296318e+01
2025-11-25 10:31:31,1.279929e+01,1.328265e+01,1.308030e+01,1.286767e+01,1.291590e+01,1.262744e+01,1.300762e+01
2025-11-25 10:32:01,1.279621e+01,1.328085e+01,1.307904e+01,1.287128e+01,1.291093e+01,1.262522e+01,1.300545e+01
2025-11-25 10:32:31,1.279124e+01,1.326809e+01,1.309116e+01,1.289362e+01,1.289687e+01,1.264489e+01,1.298884e+01
2025-11-25 10:33:01,1.280748e+01,1.328750e+01,1.308737e+01,1.288337e+01,1.291136e+01,1.264029e+01,1.300072e+01
2025-11-25 10:33:31,1.280400e+01,1.328070e+01,1.309354e+01,1.289524e+01,1.290247e+01,1.264969e+01,1.298819e+01
2025-11-25 10:34:01,1.278494e+01,1.325754e+01,1.308969e+01,1.289080e+01,1.287917e+01,1.263995e+01,1.296302e+01
2025-11-25 10:34:31,1.279811e+01,1.327596e+01,1.309338e+01,1.289276e+01,1.290615e+01,1.265075e+01,1.299337e+01
2025-11-25 10:35:01,1.281607e+01,1.329625e+01,1.309648e+01,1.288176e+01,1.292926e+01,1.266810e+01,1.302549e+01
2025-11-25 10:35:31,1.279459e+01,1.327766e+01,1.310198e+01,1.288478e+01,1.290853e+01,1.267407e+01,1.299861e+01
2025-11-25 10:36:01,1.279789e+01,1.327702e+01,1.309855e+01,1.288123e+01,1.290831e+01,1.268323e+01,1.299118e+01
2025-11-25 10:36:31,1.283946e+01,1.342504e+01,1.314325e+01,1.290654e+01,1.297674e+01,1.283260e+01,1.309106e+01
2025-11-25 10:37:01,1.282511e+01,1.340669e+01,1.315934e+01,1.292845e+01,1.294447e+01,1.287805e+01,1.307392e+01
2025-11-25 10:37:31,1.281158e+01,1.338405e+01,1.313378e+01,1.285478e+01,1.292291e+01,1.277867e+01,1.305245e+01
